date,gain,max_price,min_price,cum_pct
2024-09-05,2386.4072173622117,637.0218,37.72324,2.2338728653518993
2024-01-14,1675.210424193308,199.73936,35.31101,3.8020072068564814
2024-08-05,1348.339053471971,426.94574,40.0,5.064163138556437
2024-03-29,1333.607259790651,70.95241,-17.37227,6.3125289032122955
2024-01-09,1272.4923021501045,99.08718,23.62557,7.503686055462409
2024-04-02,1241.554225740536,72.71372,-18.35421,8.66588263095316
2024-07-19,1224.9302212365774,177.06902,33.80635,9.812517774889098
2024-01-13,1158.8043006459893,194.02023,50.95317,10.89725363414763
2024-08-04,1130.2426683506246,182.11636,27.85288,11.955253463230516
2024-08-06,1118.32065957091,322.46445,39.96368,13.002093314368427
2024-01-11,1061.319300116501,109.49092,36.96799,13.995575218360115
2024-07-11,1055.0657126852902,551.5419,35.33285,14.983203251657795
2024-09-06,1038.639147822783,346.31964,34.20873,15.955454673097144
2024-12-11,1037.155020864699,92.02,55.83921,16.926316829990075
2024-07-26,1024.6622132864704,132.70033,43.99792,17.885484694451257
2024-01-27,1015.4903422724279,60.16127,12.37791,18.83606693545568
2024-01-28,999.3450136137577,60.4905,4.2761,19.771535824752814
2024-09-17,987.7105662176436,57.02464,8.99,20.696113917143013
2024-04-13,978.1886005493955,49.79723,-10.91496,21.61177866876875
2024-05-06,977.0497520876459,40.1992,-14.44,22.52637736483702
2024-07-12,970.4952609189222,214.5477,38.02354,23.434840519635777
2024-02-02,950.3537273606546,67.03664,28.2974,24.324449547211387
2024-07-05,933.1208419940046,160.86044,33.12254,25.19792718081022
2024-11-19,846.8995169002721,67.15398,-0.07064,25.990694583087148
2024-10-02,840.444658553206,177.72852,41.47979,26.777419708586542
2024-01-31,818.7099630737382,92.20278,41.43333,27.54379937664891
2024-02-12,797.6973354482426,67.1405,0.67979,28.290509502002536
2024-02-25,792.5735926620277,43.28558,-10.95152,29.03242338390874
2024-05-16,769.6012754303822,49.34999,4.0,29.752833292920172
2024-11-16,766.4804733955303,52.55109,-9.05259,30.47032187528917
2024-07-10,752.5716137940794,429.2496,38.60002,31.174790624401872
2024-04-01,749.5872103773206,67.61,-5.24303,31.876465727164753
2024-09-04,749.5291945021763,297.61578,29.60188,32.578086522310606
2024-02-24,733.9762108781592,47.36827,-6.03299,33.26514844927999
2024-05-07,732.1045041737423,40.0,-25.51855,33.950458305274864
2024-03-28,715.7691886422814,57.96574,-11.88879,34.620476966268654
2024-07-27,705.2217618191158,64.75747,17.45119,35.280622370758635
2024-02-03,695.8008437592094,49.16528,0.57746,35.9319490233325
2024-08-03,684.216166318834,232.40598,32.34842,36.57243146775965
2024-02-22,656.5466540156301,65.52786,-7.50864,37.187012979486816
2024-02-19,654.5616835326932,59.40326,32.39296,37.799736396053994
2024-01-15,651.6868159204259,253.47485,101.61898,38.409768700767415
2024-04-08,648.0903480595123,59.68804,-25.58493,39.01643441661572
2024-10-09,643.6240525618075,122.02,31.43197,39.61891931359608
2024-12-01,635.2988787392546,74.19139,31.6046,40.21361116512877
2024-02-01,634.3902710438308,84.62593,37.73745,40.807452485343376
2024-10-06,633.4818466938393,137.6341,27.90238,41.40044344586627
2024-03-01,629.7555548875856,49.08843,-12.7278,41.9899462916643
2024-02-18,620.9993930283936,55.44401,-17.65239,42.57125265186694
2024-03-04,614.3802674255903,62.3595,-27.28586,43.14636296766908
2024-05-17,603.0233610295611,42.17957,-16.68671,43.71084228770157
2024-10-21,601.2577043971362,93.60728,17.14909,44.27366880832413
2024-07-07,599.2137934590519,61.08635,16.10248,44.83458206068695
2024-01-26,570.5658151086695,76.43389,31.67846,45.36867845588537
2024-10-10,566.3942570766078,87.8477,32.46815,45.898869930655174
2024-02-13,560.7363013531163,64.79372,0.78631,46.42376509485731
2024-06-30,560.620885009525,67.46956,10.58384,46.94855221989653
2024-10-05,560.5228804323597,96.35508,28.55574,47.47324760461414
2024-04-04,551.2685540812594,48.85937,-20.17947,47.98928018091731
2024-05-05,534.015963671234,32.71749,-31.79079,48.48916291770709
2024-06-17,532.9458487505742,47.16038,-14.04773,48.98804393917073
2024-05-08,514.5314300471293,52.58777,-15.75142,49.46968755455648
2024-10-19,500.6374675819643,44.58249,-2.83514,49.93832528162723
2024-01-18,498.1436333564843,79.55259,13.46,50.404628575342905
2024-10-30,497.2037492746167,60.8629,15.81628,50.870052060477796
2024-05-21,493.94613003792324,43.39835,-18.95453,51.33242614684892
2024-10-24,492.50217889273927,62.45958,19.74974,51.79344857652932
2024-02-14,492.0863570182464,65.36387,-5.54033,52.254081762833536
2024-04-03,483.2476495432106,64.27617,-37.40912,52.70644119407633
2024-04-15,480.37358646983995,56.28756,-35.7572,53.15611026657976
2024-03-03,474.61314273884165,47.69024,-31.50191,53.60038709133542
2024-10-31,467.0095346325197,50.2125,-3.08473,54.03754631532961
2024-05-18,465.0730997395939,34.10505,-32.64714,54.47289287745648
2024-05-26,465.0242577143283,36.56191,-39.89399,54.908193719442146
2024-04-11,452.7410057973043,90.57191,9.76395,55.331996430280675
2024-05-23,451.8628600733897,37.21168,-26.54661,55.75497712470464
2024-06-08,449.96829047893186,52.96193,-5.55558,56.176184346614036
2024-01-16,449.6580628137817,228.0358,70.21677,56.597101169987
2024-06-18,446.15782092721486,51.41369,3.31007,57.01474147989835
2024-07-06,441.74400890733114,95.06937,25.13751,57.42825009978117
2024-10-01,439.28671636435956,152.95784,21.89043,57.83945849232054
2024-02-21,435.6807602494699,56.0,-2.49842,58.247291414210935
2024-07-01,433.1975792772655,74.03122,22.80521,58.65279987506501
2024-12-19,433.18822103188086,58.85,35.5257,59.05829957583394
2024-06-02,430.13405569993824,46.23219,-38.41535,59.46094032737924
2024-12-02,425.20643489392705,86.29,29.49008,59.858968421734595
2024-03-20,419.5104371856139,45.07427,-34.68617,60.25166459510466
2024-12-08,419.00474393969284,52.75383,16.66864,60.64388739812452
2024-05-14,409.9580270394672,51.8235,-1.04455,61.027641732202056
2024-06-09,408.7142809543925,40.31481,-20.28466,61.41023181794401
2024-07-02,406.6653922205237,81.95839,25.03138,61.79090397580115
2024-03-05,406.00527540432347,61.30075,-18.64338,62.17095821018197
2024-07-04,405.8437770576759,63.61147,21.4199,62.55086126886579
2024-11-18,404.2683818898826,44.15283,-6.87451,62.92928962847398
2024-04-07,403.7668484370814,49.24588,-63.08591,63.30724851163944
2024-02-04,398.5402211927419,57.5739,25.10475,63.68031484306711
2024-06-04,398.1270524606067,54.00441,-10.29067,64.05299441467741
2024-05-01,392.314584992791,52.32616,-10.25588,64.42023304005582
2024-08-02,385.8832354121623,220.02917,41.02089,64.78145139479003
2024-01-10,384.26524281239926,94.68365,25.81476,65.14115517575885
2024-08-28,376.7408057613899,57.8602,14.9541,65.49381546656682
2024-03-09,374.5928598882141,50.36246,-33.57156,65.84446510388386
2024-08-23,371.1921741727597,41.22639,10.28001,66.19193142048009
2024-04-16,361.7067425046417,55.56479,-31.32568,66.53051859513215
2024-08-27,358.75639820491733,73.91644,15.94026,66.86634400556113
2024-03-11,356.93613741224647,57.33242,-23.87175,67.2004655026081
2024-07-28,355.04716854883986,62.41511,6.12329,67.53281876988406
2024-01-01,354.96584598943787,52.52294,23.13013,67.86509591257514
2024-10-25,352.3604504555997,59.23119,15.97422,68.19493419137737
2024-10-03,349.3111569466123,106.40776,35.15836,68.52191808138178
2024-12-30,348.5517940387963,52.23179,21.74104,68.84819114542893
2024-06-13,339.25833148655147,54.28665,14.69742,69.16576476636779
2024-09-23,334.2880358654895,79.99586,20.77614,69.47868578299006
2024-05-22,333.1846854470508,39.19961,-24.4516,69.79057397313461
2024-05-12,332.3973457114147,48.4249,-24.51701,70.10172514871665
2024-11-25,329.937683397367,71.94,47.33271,70.41057387865517
2024-11-12,322.3127047886294,52.17388,2.55538,70.71228500328935
2024-12-13,320.2962686361084,64.27625,22.60723,71.01210857831632
2024-01-29,320.2857000298968,65.72432,17.41,71.31192226026111
2024-09-22,311.06641938773464,59.10702,0.05941,71.60310593944916
2024-12-15,308.82792694542707,53.38141,0.0,71.89219420613183
2024-04-05,307.0943569326427,50.5761,-32.25078,72.179659709112
2024-08-08,303.822616460237,70.18726,28.93752,72.46406259469367
2024-08-07,298.4271967798388,111.53308,35.18218,72.74341492497467
2024-10-26,298.2318077238381,55.31381,13.32802,73.02258435507534
2024-11-27,298.06219164104687,74.10342,35.89397,73.30159501061225
